date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-04-23,161.7507,162.2736,160.3338,161.7001,4736919,4736919,-0.354219,-0.219,161.313,"Apr 23, 14",0.09113134122699232
2014-04-24,162.1133,162.1133,160.2664,160.4266,4407352,4407352,-1.2735,-0.788,160.9026,"Apr 24, 14",0.08253792809334207
2014-04-25,160.6965,160.8061,159.4905,159.929,3871407,3871407,-0.497589,-0.31,160.3658,"Apr 25, 14",0.07918018771226279
2014-04-28,161.2025,163.6061,160.7302,162.8893,5638334,5638334,2.9602,1.851,162.7813,"Apr 28, 14",0.09915590887405709
2014-04-29,163.2688,165.2507,163.117,164.5507,4626352,4626352,1.6614,1.02,164.6132,"Apr 29, 14",0.11036682099046605
2014-04-30,163.935,166.0266,163.9097,165.6977,4211284,4211284,1.147,0.697,165.4978,"Apr 30, 14",0.11810662850071095
2014-05-01,165.5627,165.9254,162.8977,163.2182,3675823,3675823,-2.4795,-1.496,163.7644,"May 1, 14",0.10137528349491114
2014-05-02,163.4037,163.4796,161.2953,161.4555,3052953,3052953,-1.7627,-1.08,161.864,"May 2, 14",0.08948081209272392
2014-05-05,161.1266,161.4977,160.0724,161.3037,2222168,2222168,-0.151807,-0.094,160.9475,"May 5, 14",0.08845648534463739
2014-05-06,161.0254,161.0423,159.6085,160.2664,3188706,3188706,-1.0374,-0.643,163.2112,"May 6, 14",0.08145691923271324
2014-05-07,160.6142,161.4286,158.5699,160.5803,3821023,3821023,0.313936,0.196,160.3147,"May 7, 14",0.08357507579545588
2014-05-08,160.4615,161.6576,159.6726,160.2495,2431945,2431945,-0.33083,-0.206,160.4311,"May 8, 14",0.08134288022057455
2014-05-09,160.3088,161.6707,159.7914,161.242,2261739,2261739,0.992493,0.619,161.2452,"May 9, 14",0.08804014173227284
2014-05-12,162.1242,163.7359,161.9715,163.3542,3778611,3778611,2.1122,1.31,163.2149,"May 12, 14",0.10229299388845367
2014-05-13,163.5408,163.7444,162.6671,163.0318,2226997,2226997,-0.322349,-0.197,163.1503,"May 13, 14",0.10011748042611464
2014-05-14,162.7943,162.8622,159.6217,160.0883,5255970,5255970,-2.9436,-1.806,160.6077,"May 14, 14",0.08025512348940493
2014-05-15,160.3852,160.3937,157.9336,158.1712,4202556,4202556,-1.9171,-1.198,158.7935,"May 15, 14",0.06731878087572521
2014-05-16,158.01,158.977,157.7216,158.6801,3949644,3949644,0.50897,0.322,158.3117,"May 16, 14",0.07075277219391504
2014-05-19,158.2984,158.7395,157.8149,158.6292,3270670,3270670,-0.050897,-0.032,158.3941,"May 19, 14",0.07040930558339058
2014-05-20,157.993,158.3748,156.6782,156.8394,3032896,3032896,-1.7899,-1.128,157.3067,"May 20, 14",0.05833196688954898
2014-05-21,157.6537,158.765,156.8903,158.1118,2988348,2988348,1.2724,0.811,158.0956,"May 21, 14",0.06691795736560434
2014-05-22,158.1627,158.1627,156.9581,157.5095,2218149,2218149,-0.602283,-0.381,157.6393,"May 22, 14",0.06285371493890825
2014-05-23,157.6452,157.8997,157.1957,157.7301,2563424,2563424,0.220555,0.14,157.6105,"May 23, 14",0.06434229518019853
2014-05-27,156.763,157.4841,156.025,156.746,4794501,4794501,-0.984009,-0.624,156.6432,"May 27, 14",0.05770171578104253
2014-05-28,156.4916,156.8309,155.1852,155.304,3724124,3724124,-1.4421,-0.92,155.699,"May 28, 14",0.04797128646127507
2014-05-29,155.779,155.8978,154.6678,155.8808,2759978,2759978,0.576833,0.371,155.2913,"May 29, 14",0.05186345818918198
2014-05-30,155.5584,156.5679,154.8035,156.3898,4620207,4620207,0.508971,0.327,159.0875,"May 30, 14",0.05529812429442591
2014-06-02,156.7291,158.0186,156.6527,157.518,3204034,3204034,1.1282,0.721,157.4174,"Jun 2, 14",0.06291107183850464
2014-06-03,157.3992,157.5774,156.1862,156.3983,2517123,2517123,-1.1197,-0.711,156.618,"Jun 3, 14",0.05535548119402231
2014-06-04,156.6867,157.3144,156.254,156.517,2376981,2376981,0.118762,0.076,156.6473,"Jun 4, 14",0.056156453427209756
2014-06-05,156.6443,157.8573,156.0165,157.764,2861974,2861974,1.247,0.797,157.2714,"Jun 5, 14",0.06457104799153021
2014-06-06,158.1797,159.1806,157.6961,158.0948,3296900,3296900,0.330832,0.21,158.4217,"Jun 6, 14",0.06680324356641155
2014-06-09,157.9676,159.1721,157.747,157.9676,2728403,2728403,-0.127243,-0.08,158.2575,"Jun 9, 14",0.06594491443362771
2014-06-10,157.9506,157.9675,155.9317,156.3304,4157062,4157062,-1.6372,-1.036,156.4874,"Jun 10, 14",0.05489730078430505
